"","Age","education_level","Province","cps19_votechoice"
"549",29,"At or above Bachelor","Manitoba",1
"550",48,"College","Newfoundland and Labrador",1
"551",34,"At or above Bachelor","Ontario",0
"552",66,"High School","Quebec",0
"553",37,"At or above Bachelor","Ontario",1
"554",66,"At or above Bachelor","Nova Scotia",1
"555",51,"High School","Ontario",1
"556",60,"At or above Bachelor","Ontario",1
"557",76,"High School","Ontario",1
"558",52,"College","Quebec",1
"559",69,"High School","Ontario",0
"560",28,"College","Ontario",1
"561",61,"High School","Ontario",1
"562",51,"College","Quebec",0
"563",68,"Below high school","Ontario",1
"564",67,"High School","Ontario",0
"565",68,"College","Quebec",1
"566",27,"High School","Quebec",0
"567",57,"At or above Bachelor","Ontario",1
"568",63,"At or above Bachelor","Ontario",1
"569",57,"High School","Quebec",1
"570",66,"At or above Bachelor","Nova Scotia",0
"571",27,"At or above Bachelor","Ontario",0
"572",73,"At or above Bachelor","Ontario",0
"573",57,"High School","Quebec",1
"574",44,"College","Ontario",0
"575",52,"At or above Bachelor","Ontario",0
"576",41,"At or above Bachelor","Ontario",0
"577",53,"At or above Bachelor","Ontario",1
"578",62,"At or above Bachelor","Ontario",0
"579",36,"At or above Bachelor","Quebec",1
"580",57,"Below high school","Nova Scotia",0
"581",60,"At or above Bachelor","Ontario",0
"582",63,"At or above Bachelor","Ontario",1
"583",87,"At or above Bachelor","Ontario",0
"584",44,"At or above Bachelor","Ontario",1
"585",41,"At or above Bachelor","Quebec",1
"586",46,"College","Ontario",1
"587",50,"College","Ontario",1
"588",74,"High School","Ontario",0
"589",48,"At or above Bachelor","Nova Scotia",1
"590",57,"High School","Quebec",1
"591",48,"High School","Ontario",1
"592",35,"High School","Ontario",0
"593",64,"Below high school","Nova Scotia",1
"594",73,"At or above Bachelor","New Brunswick",0
"595",59,"Below high school","New Brunswick",1
"596",44,"College","Quebec",0
"597",66,"At or above Bachelor","Ontario",1
"598",62,"College","Quebec",1
"599",48,"At or above Bachelor","Ontario",0
"600",29,"At or above Bachelor","Ontario",1
"601",25,"At or above Bachelor","Ontario",0
"602",51,"High School","Ontario",1
"603",34,"At or above Bachelor","Quebec",0
"604",72,"At or above Bachelor","Ontario",0
"605",71,"At or above Bachelor","Quebec",1
"606",59,"College","Ontario",0
"607",65,"At or above Bachelor","Ontario",0
"608",68,"High School","Quebec",1
"609",39,"At or above Bachelor","Manitoba",0
"610",45,"College","Newfoundland and Labrador",0
"611",62,"At or above Bachelor","Ontario",0
"612",35,"High School","Ontario",0
"613",46,"College","Ontario",1
"614",53,"High School","Ontario",1
"615",77,"High School","Ontario",0
"616",27,"At or above Bachelor","Ontario",1
"617",24,"Below high school","Alberta",0
"618",72,"High School","Ontario",0
"619",71,"High School","Quebec",1
"620",40,"Below high school","Alberta",0
"621",55,"High School","Nova Scotia",1
"622",56,"College","Ontario",1
"623",63,"High School","Ontario",1
"624",41,"High School","Ontario",1
"625",63,"College","Ontario",1
"626",63,"At or above Bachelor","Quebec",1
"627",81,"High School","Saskatchewan",1
"628",61,"College","Ontario",0
"629",60,"Below high school","Ontario",0
"630",69,"High School","Ontario",0
"631",63,"High School","British Columbia",0
"632",71,"High School","Ontario",1
"633",27,"College","Ontario",1
"634",33,"High School","Quebec",1
"635",41,"High School","Ontario",1
"636",72,"College","Ontario",0
"637",53,"High School","Quebec",1
"638",77,"At or above Bachelor","Alberta",1
"639",43,"At or above Bachelor","Nova Scotia",0
"640",55,"At or above Bachelor","Nova Scotia",1
"641",31,"At or above Bachelor","Ontario",0
"642",73,"Below high school","Saskatchewan",0
"643",60,"At or above Bachelor","Saskatchewan",1
"644",43,"At or above Bachelor","Quebec",0
"645",68,"College","Ontario",1
"646",76,"Below high school","Newfoundland and Labrador",1
"647",29,"High School","Nova Scotia",0
"648",83,"At or above Bachelor","New Brunswick",1
"649",52,"At or above Bachelor","Manitoba",1
"650",66,"College","Ontario",1
"651",29,"At or above Bachelor","Ontario",0
"652",61,"At or above Bachelor","Ontario",0
"653",52,"At or above Bachelor","Quebec",1
"654",58,"High School","Ontario",1
"655",74,"High School","Ontario",0
"656",73,"College","Ontario",0
"657",72,"At or above Bachelor","Ontario",1
"658",59,"At or above Bachelor","Ontario",1
"659",65,"Below high school","British Columbia",0
"660",69,"At or above Bachelor","Alberta",0
"661",67,"High School","Yukon",1
"662",73,"At or above Bachelor","Ontario",0
"663",45,"At or above Bachelor","Ontario",0
"664",59,"College","Ontario",0
"665",33,"High School","Alberta",0
"666",71,"College","Saskatchewan",0
"667",76,"High School","British Columbia",1
"668",56,"At or above Bachelor","Ontario",1
"669",65,"High School","Alberta",0
"670",60,"At or above Bachelor","Ontario",1
"671",65,"At or above Bachelor","Ontario",1
"672",55,"Below high school","Ontario",1
"673",75,"Below high school","Alberta",0
"674",67,"College","British Columbia",0
"675",66,"College","Nova Scotia",1
"676",57,"Below high school","Ontario",0
"677",59,"High School","Nova Scotia",1
"678",66,"At or above Bachelor","Ontario",1
"679",67,"College","Ontario",0
"680",81,"High School","Ontario",1
"681",62,"High School","Ontario",0
"682",77,"High School","Ontario",0
"683",55,"At or above Bachelor","Ontario",0
"684",66,"High School","Nova Scotia",0
"685",74,"High School","Ontario",0
"686",51,"College","Quebec",1
"687",52,"High School","Ontario",0
"688",72,"At or above Bachelor","British Columbia",0
"689",69,"High School","Ontario",0
"690",65,"High School","Quebec",1
"691",67,"College","Alberta",0
"692",78,"At or above Bachelor","Quebec",1
"693",39,"High School","Nova Scotia",0
"694",54,"College","Ontario",0
"695",64,"At or above Bachelor","Ontario",0
"696",57,"High School","Saskatchewan",0
"697",99,"At or above Bachelor","British Columbia",1
"698",62,"High School","Manitoba",0
"699",61,"High School","Manitoba",0
"700",55,"College","Ontario",1
"701",56,"College","New Brunswick",1
"702",65,"College","Ontario",1
"703",55,"College","Alberta",0
"704",54,"At or above Bachelor","Alberta",0
"705",68,"College","Ontario",1
"706",81,"High School","British Columbia",0
"707",79,"College","Nova Scotia",1
"708",62,"High School","Alberta",0
"709",54,"At or above Bachelor","Ontario",1
"710",86,"High School","Quebec",0
"711",45,"At or above Bachelor","Ontario",0
"712",54,"College","Alberta",0
"713",75,"College","Ontario",0
"714",61,"High School","Ontario",0
